Timestamp,Course,"If pursuing BSc or MSc or Others, please specify your major",Age,Sex,A program needs to process a list of student records and generate a report on their grades. How should you start decomposing the problem?,You are asked to develop a function that finds prime numbers in a given range. Which of the following is the best way to decompose the problem?,"In a large software project, different modules perform data collection, processing, and visualization. What is the main advantage of decomposing the system this way?",A function processes customer transactions and applies discounts based on various conditions. Which approach best decomposes the problem?,"When decomposing a program to manage an online library system, which is the most effective breakdown?",You need to design a library management system. What is the best way to start?,You are given a large dataset to analyze student grades. How would you apply decomposition?  ,A company wants to build an online food ordering app. What is the first step in decomposition?,You need to debug a complex program with thousands of lines of code. What should you do?,You are designing an automated chatbot for customer service. How would you decompose this problem?,You are analyzing a dataset containing students scores in multiple subjects. Which method best demonstrates pattern recognition? ,A program needs to detect fraudulent credit card transactions. How would you solve this problem,"Which of the following would best represent the patterns in this list?
x x y y y y z z x x x x ","In a machine learning model, recognizing common patterns in customer behavior can be used to:",You need to optimize a sorting algorithm for large datasets. Which patterns from the following would you use?,"When writing a function to validate email addresses, which approach would you use to validate?",You notice that your program always crashes when entering a decimal number. What pattern do you recognize?,A weather app predicts rain whenever humidity is above 80%. What pattern is being used?,You are given a list of customer complaints and notice that most are about delayed deliveries. What should you do?,A teacher observes that students who practice more score higher on tests. What pattern is being recognized?,You are analyzing website traffic data and see that visits increase during weekends. What pattern do you notice?,"You are designing a function to calculate the total price of items in a shopping cart. What details should you focus on?
",You need to store a students details in a database. Which information is most important for a university system?,"When programming a car simulation game, which of the follow abstracts the game?",A weather app needs to show the current temperature. What is the best use of abstraction?,"You are designing a software application for a library management system. The system needs to keep track of various details for each book, such as title, author, publication date, and ISBN. However, you also need to ensure the software can handle other types of items, like DVDs and magazines, with their own specific attributes.
Which concept of abstraction best applies to this situation?","When using a mobile banking app, what is an example of abstraction?",You are designing an online ticket booking system. What should be abstracted?,"When coding a game, which of the following is an example of abstraction?",You need to build a flight booking app. Which is an example of abstraction in the app?,"When designing a calculator app, what is the best use of abstraction in the app?",Which of the following best demonstrates abstraction in programming?,You are designing an algorithm to find the shortest path between two locations on a map. Which approach from below would you use?,"When writing a sorting algorithm, which of the following would be the best approaches?",A function needs to calculate the factorial of a number. Which implementation demonstrates algorithmic thinking?,A program needs to validate a password based on multiple conditions. What steps would you take to solve it?,"When implementing a search algorithm, which of the following best demonstrates algorithmic thinking?","You are a delivery driver for a package delivery company. You have a list of packages to deliver to different addresses in the city. You want to spend as little time as possible driving around the city delivering the packages. 
Which of the following is the best algorithm for doing this?",You need to sort a list of student names. What should you do?,A robot needs to find the shortest path in a maze. What approach should be used?,"When designing a recipe recommendation system, what is an algorithmic approach?",What is the best way to check if a number is prime?,You need to search for a name in a sorted list. What is the best approach?
03-04-2025 20:26,MCA,,20 - 23,Female,Sort the student records and then decide on further steps.,Implement a loop that checks each number for primality.,It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.",Ask each library user what they want before writing any code,"Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By writing a function to flag transactions above a certain threshold.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By converting all data into a single format before sorting.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Simplifying the user interface to make it more user-friendly.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-04-2025 20:32,PGDCA,,20 - 23,Female,Focus on designing an efficient algorithm for sorting first.,"Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Implement all discount calculations in a single function.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Calculating the average score for each subject.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Optimize the model by increasing the learning rate.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program crashes randomly,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations",The full technical details of how the internet works,Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-04-2025 20:53,MCA,,20 - 23,Female,"Divide the task into reading input, processing data, and generating output.",Store prime numbers in an array and return it as output.,It allows independent development and testing of each module.,Implement all discount calculations in a single function.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By converting all data into a single format before sorting.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations",The number of lines in the programs source code,Making players memorize complex game mechanics,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-04-2025 21:01,MSc,Data Science ,24 - 27,Male,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-04-2025 21:14,MCA,,20 - 23,Female,Sort the student records and then decide on further steps.,"Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Optimize the model by increasing the learning rate.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades",Simulating the engines internal mechanics in full detail,"Displaying only temperature, humidity, and weather condition",Simplifying the user interface to make it more user-friendly.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,"Drive to each address on the list in order. If there is a package to deliver at that address, then deliver it.",Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-04-2025 22:08,MSc,Data Science ,20 - 23,Female,"Write a function that prints the report first, then figure out how to process the data.",Implement a loop that checks each number for primality.,It ensures that all parts of the program are implemented by the same developer.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise",Ask customers to manually write down their orders and process them manually,Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By always using the same sorting algorithm regardless of input data.,Identifying common patterns in valid email formats using regular expressions.,The program only works with whole numbers,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Favorite food, music preferences, and hobbies","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part",Showing the names of all weather satellites used to collect data,Generalizing the common attributes and behaviors of different types of library items.,Users see the raw database of all transactions instead of a clean balance summary,"Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,Making users understand how airlines process bookings internally,Showing all internal processes of how the calculator computes numbers,Writing separate code for every possible input,Randomly selecting a path and checking if it is optimal.,Breaking down the sorting process into steps like comparing and swapping elements.,Storing precomputed factorials and returning results directly.,Randomly generating a password without checking the users input.,Storing all possible queries in memory for quick access.,"Drive to the address of the package that is furthest away from your starting location. Deliver that package. Then drive to the address of the next furthest away package, and so on until all of the packages have been delivered.",Use a sorting algorithm like quicksort or mergesort,Try every possible path without strategy,Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Check every name one by one
03-05-2025 12:19,MCA,,20 - 23,Female,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-05-2025 17:01,MCA,,20 - 23,Male,Focus on designing an efficient algorithm for sorting first.,Focus on optimizing the primality test before handling input and output.,It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By converting all data into a single format before sorting.,Identifying common patterns in valid email formats using regular expressions.,The program only works with whole numbers,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades",Coding a separate program for each different car model,"Displaying only temperature, humidity, and weather condition",Simplifying the user interface to make it more user-friendly.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-11-2025 12:19,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It ensures that all parts of the program are implemented by the same developer.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system",Only focus on the highest and lowest grades,"Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Ignore the complaints,Test scores are random,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Sorting the data manually and hardcoding the results.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Arrange names manually each time,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-11-2025 12:26,MCA,,20 - 23,Female,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-11-2025 12:32,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Increase the size of training data.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Ignore the complaints,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Writing the entire game from scratch every time a new level is added,Showing a list of all past flights ever taken,Displaying a simple interface with basic mathematical operations,Writing separate code for every possible input,Choosing the longest path first to explore all possibilities.,Using a random number generator to shuffle elements before sorting.,Using a large dataset to approximate factorial values.,Accepting all passwords as valid.,Storing all possible queries in memory for quick access.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Print the list without sorting,Move randomly and hope to find the exit,Ask users to enter every ingredient manually each time,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-11-2025 12:33,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.",Implement a loop that checks each number for primality.,It allows independent development and testing of each module.,Store all discount rules in an array and iterate over them.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By converting all data into a single format before sorting.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Increasing the number of available functions and features in the software.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
03-11-2025 12:55,BCA,,16 - 19,Prefer not to say,"Write a function that prints the report first, then figure out how to process the data.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Implement all discount calculations in a single function.,Store book details in a single array and retrieve them using a loop.,"Divide the system into parts like book catalog, user management, and borrowing system",Analyze all data at once,Write code for the entire app in one go,Divide the program into smaller sections and test each one separately,Only focus on making the chatbot look friendly,Identifying students who perform consistently well across subjects.,By writing a function to flag transactions above a certain threshold.,"(x,3)(y,1)(z,3)",Group customers into meaningful categories based on behavior.,By implementing a brute-force approach for sorting.,Checking if the email contains only alphabetic characters.,The program crashes randomly,Humidity and rain are unrelated,Randomly fix issues without looking for patterns,Test scores are random,Website visits are completely random,The brand of each item,"Favorite food, music preferences, and hobbies",Coding a separate program for each different car model,Showing detailed wind speed calculations and air pressure graphs,Reducing the storage space required for storing book details in the database.,Users see the raw database of all transactions instead of a clean balance summary,The full technical details of how the internet works,Creating a function for moving characters instead of writing separate movement logic every time,Making users understand how airlines process bookings internally,Letting users manually program each operation,Keeping all code in a single function,Implementing Dijkstras algorithm to find the shortest route.,Sorting the data manually and hardcoding the results.,Storing precomputed factorials and returning results directly.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Checking every element manually without an algorithm.,"Drive to the address of the package that is furthest away from your starting location. Deliver that package. Then drive to the address of the next furthest away package, and so on until all of the packages have been delivered.",Arrange names manually each time,Move randomly and hope to find the exit,Ignore user input,Assume all numbers are prime,Guess randomly
03-11-2025 12:57,MSc,Computer Science ,20 - 23,Male,Sort the student records and then decide on further steps.,Store prime numbers in an array and return it as output.,It improves performance by reducing code execution time.,Implement all discount calculations in a single function.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise",Ask customers to manually write down their orders and process them manually,Rewrite the entire program from scratch,"Create separate modules for greeting users, answering FAQs, and processing complaints",Sorting the scores in ascending order.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Increase the size of training data.,By recognizing that certain datasets are already partially sorted.,Checking if the email contains only alphabetic characters.,The program only works with whole numbers,The app guesses randomly,Randomly fix issues without looking for patterns,All students score the same,More people visit the website on weekends,The price and quantity of each item,"Favorite food, music preferences, and hobbies","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part",Listing all past weather records for the last 10 years,Reducing the storage space required for storing book details in the database.,"Users see a simple ""Transfer Money"" button instead of complex banking operations",Every customers past booking history in great detail,Writing the entire game from scratch every time a new level is added,Making users understand how airlines process bookings internally,Showing all internal processes of how the calculator computes numbers,Printing every debug message to the user,Implementing Dijkstras algorithm to find the shortest route.,Sorting the data manually and hardcoding the results.,Manually computing factorial values for a fixed range of numbers.,Accepting all passwords as valid.,Checking every element manually without an algorithm.,"Drive to each address on the list in order. If there is a package to deliver at that address, then deliver it.",Print the list without sorting,Try every possible path without strategy,Ask users to enter every ingredient manually each time,Assume all numbers are prime,Check every name one by one
